OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,SUM,Population,OBJECTID,Id,gridcode,Site,OBJECTID_1,FID_Yukon_spawning_sites,Site_12,Latitude,Longitude,FID_YRC_CU,OBJECTID_12,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng,Shape_Length,Shape_Area,Drainage_area,Mean_elev,Isolated,Sporadic,Extensive_disc,Continuous,Prod_level
1364,MichieCr,90,793.000000000000000,793.000000000000000,swe,StdTime,1998-04-01 12:00:00,58417.609935760570806,Upper Lakes and Mainstem,90,295,83,MichieCr,15,83,MichieCr,60.673960000000001,-134.472739999999988,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,231343.922657735878602,791616156.703610658645630,791616156.703610658645630,1075.619671138719923,0.000000000000000,632835900.000000000000000,135547200.000000000000000,23265900.000000000000000,minor
1365,FlatCr,91,124.000000000000000,124.000000000000000,swe,StdTime,1998-04-01 12:00:00,10302.620010375978381,Upper Lakes and Mainstem,91,299,69,FlatCr,23,69,FlatCr,60.858379999999997,-135.517590000000013,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,72641.451922350272071,124204161.913082867860794,124204161.913082867860794,1212.899056071280029,0.000000000000000,63794700.000000000000000,45263700.000000000000000,15129900.000000000000000,minor
1366,WolfR,92,4034.000000000000000,4034.000000000000000,swe,StdTime,1998-04-01 12:00:00,662793.929862974560820,Teslin,92,310,98,WolfR,131,98,WolfR,,,,,,,,,Teslin,,,,,,,689899.453904795111157,3997616934.947450637817383,3997616934.947450637817383,1150.902241748179904,0.000000000000000,3218466600.000000000000000,600675300.000000000000000,178589700.000000000000000,major
1367,Thirty-MileCr,93,107.000000000000000,107.000000000000000,swe,StdTime,1998-04-01 12:00:00,13077.660041809078393,Teslin,93,321,94,Thirty-MileCr,14,94,Thirty-MileCr,60.668170000000003,-132.857100000000003,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,76676.530082460885751,108232980.241216957569122,108232980.241216957569122,1117.872305640029936,4521600.000000000000000,79922700.000000000000000,22609800.000000000000000,1197900.000000000000000,minor
1368,SmartR,94,717.000000000000000,717.000000000000000,swe,StdTime,1998-04-01 12:00:00,155662.839836120489053,Teslin,94,350,90,SmartR,8,90,SmartR,59.933729999999997,-131.756159999999994,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,152589.632636298105353,710034699.217274427413940,710034699.217274427413940,1281.208048924140030,0.000000000000000,345355200.000000000000000,245697300.000000000000000,118976400.000000000000000,minor
1369,MacmillanR,95,14659.000000000000000,14659.000000000000000,swe,StdTime,1998-04-01 12:00:00,565716.839929579989985,Pelly,95,1,52,MacmillanR,71,52,MacmillanR,62.867339999999999,-135.898689999999988,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,1352894.518448120215908,14055691572.670930862426758,14055691572.670930862426758,1099.182686356909926,0.000000000000000,52680600.000000000000000,13912768800.000000000000000,90142200.000000000000000,minor
1370,JenningsR,96,3743.000000000000000,3743.000000000000000,swe,StdTime,1998-04-01 12:00:00,596778.969810486421920,Teslin,96,1,74,JenningsR,4,74,JenningsR,59.665889999999997,-132.141289999999998,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,505845.799183582712431,3763998917.951196670532227,3763998917.951196670532227,1305.574973673850081,9593100.000000000000000,2165235300.000000000000000,1133067600.000000000000000,456114600.000000000000000,minor
1371,OtterCr(Pel),97,1097.000000000000000,1097.000000000000000,swe,StdTime,1998-04-01 12:00:00,46217.939992904597602,Pelly,97,1,58,OtterCr(Pel),58,58,OtterCr(Pel),62.463880000000003,-131.319700000000012,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,275579.428281467931811,1057716012.218750596046448,1057716012.218750596046448,1110.801605091829970,0.000000000000000,0.000000000000000,1057767300.000000000000000,0.000000000000000,minor
1372,NislingR,98,11739.000000000000000,11739.000000000000000,swe,StdTime,1998-04-01 12:00:00,750657.800205231294967,White Donjek,98,4,33,NislingR,57,33,NislingR,62.462989999999998,-139.481699999999989,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744634.900001525878906,940515.556288999971002,940515.556288999971002,828210.537438047002070,11456657135.101575851440430,11456657135.101575851440430,1150.582546117899938,0.000000000000000,45372600.000000000000000,10250586900.000000000000000,1160729100.000000000000000,major
1373,CoalCr,1,1200.000000000000000,1200.000000000000000,swe,StdTime,1999-04-01 12:00:00,278155.409698486095294,Lower Mainstem,1,5,3,CoalCr,98,3,CoalCr,64.478579999999994,-140.421050000000008,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,215957.776225798763335,1126591776.870468139648438,1126591776.870468139648438,1007.819046418940047,0.000000000000000,217538100.000000000000000,715527000.000000000000000,193551300.000000000000000,minor
1374,SelwynR,2,1059.000000000000000,1059.000000000000000,swe,StdTime,1999-04-01 12:00:00,176166.650032043515239,Middle Mainstem,2,122,38,SelwynR,67,38,SelwynR,62.803510000000003,-138.284619999999990,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,163841.384332697285572,1021976637.910903334617615,1021976637.910903334617615,1145.869016961439911,0.000000000000000,0.000000000000000,943431300.000000000000000,78557400.000000000000000,minor
1375,KlottasinCr,3,2489.000000000000000,2489.000000000000000,swe,StdTime,1999-04-01 12:00:00,287167.129905700800009,White Donjek,3,149,27,KlottasinCr,60,27,KlottasinCr,62.565379999999998,-139.510040000000004,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744634.900001525878906,940515.556288999971002,940515.556288999971002,291710.923419124213979,2397857006.050797939300537,2397857006.050797939300537,989.282439953404946,0.000000000000000,0.000000000000000,2275278300.000000000000000,122579100.000000000000000,minor
1376,TatchunCr,4,1167.000000000000000,1167.000000000000000,swe,StdTime,1999-04-01 12:00:00,138658.739921569766011,Middle Mainstem,4,150,39,TatchunCr,55,39,TatchunCr,62.285530000000001,-136.325240000000008,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,198639.457508832856547,1136951494.748538017272949,1136951494.748538017272949,876.889676325487017,0.000000000000000,56700.000000000000000,1136883600.000000000000000,2700.000000000000000,major
1377,TincupCr,5,530.000000000000000,530.000000000000000,swe,StdTime,1999-04-01 12:00:00,42248.540054321332718,White Donjek,5,176,40,TincupCr,43,40,TincupCr,61.887680000000003,-139.545330000000007,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744634.900001525878906,940515.556288999971002,940515.556288999971002,183250.981390917761018,518003256.834722220897675,518003256.834722220897675,1146.810941729620026,0.000000000000000,0.000000000000000,395514000.000000000000000,122498100.000000000000000,minor
1378,M’ClintockR,6,1694.000000000000000,1694.000000000000000,swe,StdTime,1999-04-01 12:00:00,180090.390163421601756,Upper Lakes and Mainstem,6,235,79,M’ClintockR,12,79,M’ClintockR,60.558940000000000,-134.489360000000005,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,330218.953414032119326,1680005322.657214403152466,1680005322.657214403152466,1104.416963551489971,0.000000000000000,1218762900.000000000000000,377649000.000000000000000,83602800.000000000000000,minor
1379,NSwiftR,7,290.000000000000000,290.000000000000000,swe,StdTime,1999-04-01 12:00:00,33642.640068054206495,Teslin,7,238,85,NSwiftR,21,85,NSwiftR,60.810409999999997,-133.857319999999987,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,105722.772713580750860,285323169.668945968151093,285323169.668945968151093,1206.488111616190054,0.000000000000000,137702700.000000000000000,123937200.000000000000000,23643000.000000000000000,minor
1380,RedR,8,1046.000000000000000,1046.000000000000000,swe,StdTime,1999-04-01 12:00:00,252563.629898071434582,Teslin,8,250,86,RedR,16,86,RedR,60.735909999999997,-132.113570000000010,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,246931.893693022517255,1024226613.349197149276733,1024226613.349197149276733,1106.563140527570113,0.000000000000000,914058000.000000000000000,108170100.000000000000000,2011500.000000000000000,minor
1381,SidneyCr,9,842.000000000000000,842.000000000000000,swe,StdTime,1999-04-01 12:00:00,119833.639808654726949,Teslin,9,262,89,SidneyCr,18,89,SidneyCr,60.757120000000000,-132.942180000000008,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,181583.940720166807296,833525109.686518669128418,833525109.686518669128418,1223.059975929350003,98451000.000000000000000,423164700.000000000000000,220330800.000000000000000,91575000.000000000000000,minor
1382,SquangaCr,10,815.000000000000000,815.000000000000000,swe,StdTime,1999-04-01 12:00:00,138218.949989318760345,Teslin,10,264,92,SquangaCr,11,92,SquangaCr,60.541620000000002,-133.430340000000001,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,248331.146868453331990,809904994.474126100540161,809904994.474126100540161,1042.821349181499954,35739000.000000000000000,698270400.000000000000000,69386400.000000000000000,6526800.000000000000000,minor
1383,GladysR,11,2352.000000000000000,2352.000000000000000,swe,StdTime,1999-04-01 12:00:00,557097.460105895879678,Teslin,11,283,70,GladysR,6,70,GladysR,59.797829999999998,-132.283140000000003,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,434572.385599164874293,2356477333.347676277160645,2356477333.347676277160645,1186.992667141460061,35712000.000000000000000,1617666300.000000000000000,406200600.000000000000000,296881200.000000000000000,minor
1384,KlinkitCr,12,716.000000000000000,716.000000000000000,swe,StdTime,1999-04-01 12:00:00,270075.830078124883585,Teslin,12,284,75,KlinkitCr,1,75,KlinkitCr,59.428310000000003,-131.358519999999999,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,181949.634061990538612,725191663.361323356628418,725191663.361323356628418,1339.605436994650063,0.000000000000000,391843800.000000000000000,241029000.000000000000000,92274300.000000000000000,minor
1385,McNaughtonCr,13,1044.000000000000000,1044.000000000000000,swe,StdTime,1999-04-01 12:00:00,419894.160293579043355,Teslin,13,288,80,McNaughtonCr,7,80,McNaughtonCr,59.929920000000003,-131.258180000000010,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,264774.998391650791746,1039750131.759751439094543,1039750131.759751439094543,1367.292438064340104,0.000000000000000,480031200.000000000000000,371037600.000000000000000,188711100.000000000000000,minor
1386,UTeslinR,14,2367.000000000000000,2367.000000000000000,swe,StdTime,1999-04-01 12:00:00,639501.940292358864099,Teslin,14,292,96,UTeslinR,2,96,UTeslinR,59.484940000000002,-132.099880000000013,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,334393.239699084893800,2395786832.900381088256836,2395786832.900381088256836,1096.922194838010000,796954500.000000000000000,1076032800.000000000000000,421063200.000000000000000,101682000.000000000000000,minor
1387,Fifteen-MileR,15,1398.000000000000000,1398.000000000000000,swe,StdTime,1999-04-01 12:00:00,342934.390533448196948,Lower Mainstem,15,1,6,Fifteen-MileR,97,6,Fifteen-MileR,64.283709999999999,-139.814420000000013,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,249367.928714449080871,1307276209.022452354431152,1307276209.022452354431152,1079.486340652809986,0.000000000000000,143511300.000000000000000,878468400.000000000000000,285300000.000000000000000,minor
1388,BeaverR,16,5328.000000000000000,5328.000000000000000,swe,StdTime,1999-04-01 12:00:00,1094864.970069886185229,Stewart,16,4,1,BeaverR,92,1,BeaverR,63.958750000000002,-133.893689999999992,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,577270.796424818807282,5003479037.061246871948242,5003479037.061249732971191,1178.413723961700043,0.000000000000000,237833100.000000000000000,3916927800.000000000000000,848777400.000000000000000,minor
1389,ChandinduR,17,1803.000000000000000,1803.000000000000000,swe,StdTime,1999-04-01 12:00:00,446120.260429382207803,Lower Mainstem,17,6,2,ChandinduR,96,2,ChandinduR,64.252660000000006,-139.715579999999989,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,301800.385013708670158,1689781766.633125782012939,1689781766.633125782012939,1065.260426060490090,99900.000000000000000,107922600.000000000000000,1204753500.000000000000000,377018100.000000000000000,minor
1390,NKlondikeR,18,1233.000000000000000,1233.000000000000000,swe,StdTime,1999-04-01 12:00:00,339998.970054626348428,Lower Mainstem,18,7,12,NKlondikeR,93,12,NKlondikeR,63.962629999999997,-138.688389999999998,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,246846.608186280413065,1148196721.447108983993530,1148196721.447108983993530,1198.720116450859905,0.000000000000000,20351700.000000000000000,769858200.000000000000000,357978600.000000000000000,minor
1391,SMcQuestenR,19,1581.000000000000000,1581.000000000000000,swe,StdTime,1999-04-01 12:00:00,290828.130104064999614,Stewart,19,8,17,SMcQuestenR,90,17,SMcQuestenR,63.844389999999997,-136.302150000000012,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,286451.300721434934530,1487899781.103955507278442,1487899781.103955507278442,944.740575590377944,0.000000000000000,214119900.000000000000000,1227845700.000000000000000,45918900.000000000000000,minor
1392,UStewartR,20,15877.000000000000000,15877.000000000000000,swe,StdTime,1999-04-01 12:00:00,2814216.509632116183639,Stewart,20,11,19,UStewartR,86,19,UStewartR,63.560459999999999,-133.965789999999998,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,1256295.355707476614043,14958708917.845438003540039,14958708917.845438003540039,1214.980338886849950,0.000000000000000,508706100.000000000000000,12243902400.000000000000000,2182320000.000000000000000,minor
1393,RacklaR,21,1936.000000000000000,1936.000000000000000,swe,StdTime,1999-04-01 12:00:00,347830.410011291794945,Stewart,21,15,16,RacklaR,95,16,RacklaR,64.115799999999993,-134.384119999999996,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,319176.743728009925690,1821069295.289573431015015,1821069295.289570093154907,1198.661014817540035,0.000000000000000,65308500.000000000000000,1431189000.000000000000000,324552600.000000000000000,minor
1394,NMcQuestenR,22,2183.000000000000000,2183.000000000000000,swe,StdTime,1999-04-01 12:00:00,526517.849845886579715,Stewart,22,16,13,NMcQuestenR,91,13,NMcQuestenR,63.847329999999999,-136.312170000000009,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,360024.163100475736428,2059699417.550010681152344,2059699417.550010681152344,1121.338916872709888,0.000000000000000,282796200.000000000000000,1614371400.000000000000000,162567900.000000000000000,minor
1395,MayoR,23,2816.000000000000000,2816.000000000000000,swe,StdTime,1999-04-01 12:00:00,470796.699859618907794,Stewart,23,23,10,MayoR,88,10,MayoR,63.586419999999997,-135.916650000000004,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,436892.178166087134741,2669926310.550635337829590,2669926310.550635337829590,1033.276399222580039,0.000000000000000,282105000.000000000000000,2286638100.000000000000000,101156400.000000000000000,minor
1396,PleasantCr,24,1726.000000000000000,1726.000000000000000,swe,StdTime,1999-04-01 12:00:00,212100.419906616181834,Stewart,24,30,15,PleasantCr,82,15,PleasantCr,63.519039999999997,-133.911049999999989,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,348151.938783386081923,1636933310.099194526672363,1636933310.099194526672363,1020.203303988379957,0.000000000000000,1773000.000000000000000,1630857600.000000000000000,4278600.000000000000000,minor
1397,JanetCr,25,357.000000000000000,357.000000000000000,swe,StdTime,1999-04-01 12:00:00,52460.629867553718213,Stewart,25,33,8,JanetCr,89,8,JanetCr,63.618540000000003,-135.478250000000003,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,138095.770443241752218,337291372.290722489356995,337291372.290722489356995,907.836000427382032,0.000000000000000,34820100.000000000000000,301625100.000000000000000,803700.000000000000000,minor
1398,WatsonCr,26,144.000000000000000,144.000000000000000,swe,StdTime,1999-04-01 12:00:00,20696.729988098140893,Stewart,26,35,20,WatsonCr,83,20,WatsonCr,63.535739999999997,-135.154010000000000,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,66858.195466965349624,142213921.444679290056229,142213921.444679290056229,916.505192088732997,0.000000000000000,23328900.000000000000000,118765800.000000000000000,126900.000000000000000,minor
1399,McQuestenR,27,5095.000000000000000,5095.000000000000000,swe,StdTime,1999-04-01 12:00:00,1083996.700141907669604,Stewart,27,36,11,McQuestenR,85,11,McQuestenR,63.553849999999997,-137.442550000000011,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,548807.485683294129558,4812354647.644128799438477,4812354647.644128799438477,1017.492904539260053,0.000000000000000,586290600.000000000000000,3991181400.000000000000000,234846000.000000000000000,major
1400,CrookedCr,28,1362.000000000000000,1362.000000000000000,swe,StdTime,1999-04-01 12:00:00,206042.760147094697459,Stewart,28,47,4,CrookedCr,80,4,CrookedCr,63.380270000000003,-136.689500000000010,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,259129.013299601152539,1301734024.667881488800049,1301734024.667881488800049,902.442208855121976,0.000000000000000,30599100.000000000000000,1254643200.000000000000000,16457400.000000000000000,minor
1401,EmeraldCr,29,753.000000000000000,753.000000000000000,swe,StdTime,1999-04-01 12:00:00,61368.909896850622317,Stewart,29,52,5,EmeraldCr,81,5,EmeraldCr,63.380319999999998,-131.802740000000000,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,168898.138633485737955,707029714.836699962615967,707029714.836699962615967,1334.234263487109956,0.000000000000000,0.000000000000000,687438000.000000000000000,19579500.000000000000000,minor
1402,BigKalzasR,30,1984.000000000000000,1984.000000000000000,swe,StdTime,1999-04-01 12:00:00,327828.429786682187114,Pelly,30,53,44,BigKalzasR,73,44,BigKalzasR,62.892280000000000,-135.485000000000014,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,337643.567187811248004,1901553419.841022729873657,1901553419.841022729873657,1050.344939511910070,0.000000000000000,41280300.000000000000000,1805990400.000000000000000,54275400.000000000000000,minor
1403,MooseR,31,1144.000000000000000,1144.000000000000000,swe,StdTime,1999-04-01 12:00:00,148400.499992370692780,Pelly,31,55,55,MooseR,74,55,MooseR,62.991849999999999,-134.731030000000004,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,265400.040938744146843,1093811604.392079114913940,1093811604.392079114913940,976.945710266749984,0.000000000000000,6669900.000000000000000,1086943500.000000000000000,212400.000000000000000,minor
1404,OllieCr,32,1324.000000000000000,1324.000000000000000,swe,StdTime,1999-04-01 12:00:00,108005.009971618695999,Stewart,32,56,14,OllieCr,79,14,OllieCr,63.306179999999998,-131.286180000000002,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,254023.283903897012351,1269012285.215501308441162,1269012285.215501308441162,1319.872053918189977,0.000000000000000,0.000000000000000,1262979000.000000000000000,6029100.000000000000000,minor
1405,RossR,33,7506.000000000000000,7506.000000000000000,swe,StdTime,1999-04-01 12:00:00,826894.559967040549964,Pelly,33,63,61,RossR,46,61,RossR,61.985819999999997,-132.418509999999998,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,847472.582759606768377,7254710601.478563308715820,7254710601.478563308715820,1111.321057646109921,0.000000000000000,0.000000000000000,7240397400.000000000000000,14316300.000000000000000,major
1406,SMacmillanR,34,5756.000000000000000,5756.000000000000000,swe,StdTime,1999-04-01 12:00:00,583687.279510497581214,Pelly,34,71,63,SMacmillanR,75,63,SMacmillanR,63.029769999999999,-133.287059999999997,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,830633.815171816968359,5530265243.537662506103516,5530265243.537662506103516,1178.449957251450087,0.000000000000000,0.000000000000000,5498982000.000000000000000,31219200.000000000000000,major
1407,NMacmillanR,35,2988.000000000000000,2988.000000000000000,swe,StdTime,1999-04-01 12:00:00,303939.659988403727766,Pelly,35,91,56,NMacmillanR,77,56,NMacmillanR,63.043920000000000,-133.277130000000000,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,411517.589436162728816,2861164537.926766872406006,2861164537.926766872406006,1188.216999339600079,0.000000000000000,0.000000000000000,2859557400.000000000000000,1632600.000000000000000,minor
1408,TayR,36,3885.000000000000000,3885.000000000000000,swe,StdTime,1999-04-01 12:00:00,429747.040054321580101,Pelly,36,97,64,TayR,61,64,TayR,62.568230000000000,-134.354389999999995,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,605014.567088706535287,3757421835.552163124084473,3757421835.552163124084473,1176.261536659719923,198000.000000000000000,0.000000000000000,3756420900.000000000000000,792900.000000000000000,minor
1409,PrevostR,37,1311.000000000000000,1311.000000000000000,swe,StdTime,1999-04-01 12:00:00,136688.869888305547647,Pelly,37,113,59,PrevostR,62,59,PrevostR,62.603230000000003,-131.170809999999989,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,315236.872280705312733,1263163793.222994327545166,1263163793.222994327545166,1189.697305351590103,0.000000000000000,0.000000000000000,1262421000.000000000000000,810000.000000000000000,minor
1410,RiddellR,38,1531.000000000000000,1531.000000000000000,swe,StdTime,1999-04-01 12:00:00,160010.559730529668741,Pelly,38,117,60,RiddellR,70,60,RiddellR,62.844029999999997,-132.421220000000005,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,309505.952235208533239,1477321155.115741729736328,1477321155.115741729736328,1139.563965593270041,0.000000000000000,0.000000000000000,1477062900.000000000000000,223200.000000000000000,minor
