OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
42,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-06-16 0:00:00,73.475847488639602
43,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-06-16 0:00:00,54.970585176281247
44,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-06-16 0:00:00,68.655488822339862
45,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-06-16 0:00:00,50.414063244393638
46,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-06-16 0:00:00,80.494856116004101
47,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-06-16 0:00:00,59.136624022648995
48,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-06-16 0:00:00,47.327147409424612
49,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-07-16 12:00:00,82.711182690577658
50,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-07-16 12:00:00,74.569068621230841
51,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-07-16 12:00:00,75.867633436753380
52,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-07-16 12:00:00,117.553442582979258
53,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-07-16 12:00:00,31.077968846788981
54,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-07-16 12:00:00,77.643399839945374
55,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-07-16 12:00:00,53.394414871918372
56,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-07-16 12:00:00,61.848983469673456
57,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-08-16 12:00:00,75.637101045650951
58,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-08-16 12:00:00,68.529117380751757
59,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-08-16 12:00:00,93.690862585729320
60,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-08-16 12:00:00,85.822074091790824
61,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-08-16 12:00:00,56.236826930019213
62,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-08-16 12:00:00,82.683056539660811
63,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-08-16 12:00:00,48.826742692927716
64,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-08-16 12:00:00,80.714427882535546
65,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-09-16 0:00:00,55.715967192631197
66,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-09-16 0:00:00,61.369154820714648
67,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-09-16 0:00:00,73.727405182271553
68,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-09-16 0:00:00,62.810557329921124
69,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-09-16 0:00:00,52.184098559421230
70,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-09-16 0:00:00,64.436576521095915
71,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-09-16 0:00:00,58.817363189237426
72,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-09-16 0:00:00,63.326547851930748
73,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-10-16 12:00:00,36.078635488237786
74,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-10-16 12:00:00,54.255219887359566
75,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-10-16 12:00:00,50.646819836189188
76,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-10-16 12:00:00,34.543935746704165
77,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-10-16 12:00:00,46.125540184049981
78,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-10-16 12:00:00,21.221323671983800
79,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-10-16 12:00:00,64.305215907879102
80,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-10-16 12:00:00,35.485419015339033
81,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-11-16 0:00:00,21.238475350364610
82,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-11-16 0:00:00,25.093946413208830
83,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-11-16 0:00:00,27.506904395494878
84,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-11-16 0:00:00,15.482072986487420
85,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-11-16 0:00:00,22.849585955217254
86,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-11-16 0:00:00,18.495199685428155
87,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-11-16 0:00:00,26.189552443391236
88,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-11-16 0:00:00,18.794826330373084
89,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-12-16 12:00:00,19.347943452489787
90,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-12-16 12:00:00,36.414537070536738
91,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-12-16 12:00:00,37.775718164912817
92,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-12-16 12:00:00,13.163476669699833
93,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-12-16 12:00:00,39.548197407967507
94,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-12-16 12:00:00,12.004470389614461
95,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-12-16 12:00:00,39.089440643617699
96,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-12-16 12:00:00,24.718251562414341
97,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-01-16 12:00:00,36.427004449014504
98,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-01-16 12:00:00,55.233049324745686
99,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-01-16 12:00:00,47.618796160195714
100,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-01-16 12:00:00,38.032669714847188
101,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-01-16 12:00:00,65.860643536267460
102,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-01-16 12:00:00,32.665255940029979
103,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-01-16 12:00:00,63.074342486562671
104,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-01-16 12:00:00,43.297926942732133
105,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-02-15 0:00:00,3.969114199183706
106,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-02-15 0:00:00,10.557729717145783
107,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-02-15 0:00:00,8.182035814362562
108,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-02-15 0:00:00,9.211785107999592
109,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-02-15 0:00:00,22.610986695926584
110,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-02-15 0:00:00,14.193251551838113
111,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-02-15 0:00:00,10.850318825216313
112,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-02-15 0:00:00,5.337916611014857
113,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-03-16 12:00:00,33.607227548148174
114,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-03-16 12:00:00,32.182973977862844
115,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-03-16 12:00:00,45.561135565490943
116,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-03-16 12:00:00,21.435532912311178
117,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-03-16 12:00:00,64.637680024647523
118,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-03-16 12:00:00,8.660148283124185
119,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-03-16 12:00:00,73.702912555797724
120,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-03-16 12:00:00,49.269972468769971
121,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-04-16 0:00:00,11.995365291963266
122,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-04-16 0:00:00,22.938432117063819
123,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-04-16 0:00:00,34.315527421849595
124,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-04-16 0:00:00,9.878274373176941
125,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-04-16 0:00:00,26.554017985997866
126,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-04-16 0:00:00,5.943216651766472
127,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-04-16 0:00:00,46.848590351470762
128,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-04-16 0:00:00,23.806217788220302
129,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-05-16 12:00:00,32.471174598465041
130,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-05-16 12:00:00,29.711677046434893
131,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-05-16 12:00:00,37.656428629544600
132,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-05-16 12:00:00,32.452208925304767
133,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-05-16 12:00:00,24.569773961548854
134,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-05-16 12:00:00,10.228325830066883
135,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-05-16 12:00:00,43.104074395366062
136,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-05-16 12:00:00,29.898767063948025
137,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-06-16 0:00:00,32.494239549195811
138,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-06-16 0:00:00,25.986804220556227
139,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-06-16 0:00:00,33.209008880310179
140,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-06-16 0:00:00,48.396979052016626
141,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-06-16 0:00:00,23.218879311042933
142,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-06-16 0:00:00,25.232045886434985
143,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-06-16 0:00:00,17.046433176952021
144,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-06-16 0:00:00,23.747897323027313
145,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-07-16 12:00:00,88.031259726194421
146,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-07-16 12:00:00,74.608380985486917
147,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-07-16 12:00:00,85.281179564856330
148,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-07-16 12:00:00,106.045363111263953
149,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-07-16 12:00:00,75.638981797891006
150,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-07-16 12:00:00,67.431676946572424
151,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-07-16 12:00:00,64.794562177036227
152,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-07-16 12:00:00,83.072162703626560
153,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-08-16 12:00:00,73.961478539979154
154,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-08-16 12:00:00,69.895040360111764
155,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-08-16 12:00:00,89.921781391704656
156,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-08-16 12:00:00,49.192609388799646
157,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-08-16 12:00:00,73.087070533101112
158,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-08-16 12:00:00,69.835371189998952
159,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-08-16 12:00:00,80.951445747163675
160,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-08-16 12:00:00,88.724099954911452
161,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-09-16 0:00:00,31.639325262500684
162,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-09-16 0:00:00,22.537918841070880
163,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-09-16 0:00:00,42.490543495137416
164,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-09-16 0:00:00,27.618960138430815
165,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-09-16 0:00:00,61.477553231230793
166,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-09-16 0:00:00,14.456367690526911
167,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-09-16 0:00:00,68.720710606609657
168,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-09-16 0:00:00,50.015902836416579
169,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-10-16 12:00:00,21.215454853000388
170,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-10-16 12:00:00,27.846964882233859
171,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-10-16 12:00:00,37.466422130251715
172,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-10-16 12:00:00,14.464841538405253
173,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-10-16 12:00:00,84.831875673695748
174,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-10-16 12:00:00,24.548049388994372
175,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-10-16 12:00:00,89.937587380687759
176,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-10-16 12:00:00,40.097902842376300
177,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-11-16 0:00:00,22.309462126213397
178,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-11-16 0:00:00,27.690463216955919
179,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-11-16 0:00:00,32.200870224460438
180,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-11-16 0:00:00,14.120185408260522
181,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-11-16 0:00:00,53.820904597451033
182,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-11-16 0:00:00,19.965420039744149
183,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-11-16 0:00:00,56.390904968265843
184,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-11-16 0:00:00,35.627472109042166
185,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1986-12-16 12:00:00,12.917627009551429
186,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1986-12-16 12:00:00,26.021536482812888
187,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1986-12-16 12:00:00,26.076149138239678
188,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1986-12-16 12:00:00,9.977147971282625
189,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1986-12-16 12:00:00,40.914740527151821
190,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1986-12-16 12:00:00,22.734477641134536
191,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1986-12-16 12:00:00,37.005451922248042
192,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1986-12-16 12:00:00,18.800521035000447
193,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-01-16 12:00:00,9.831958858321332
194,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-01-16 12:00:00,16.827191687008160
195,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1987-01-16 12:00:00,9.211141878313299
196,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1987-01-16 12:00:00,6.595788681649891
197,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1987-01-16 12:00:00,28.963188313201364
198,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1987-01-16 12:00:00,11.817063633475064
199,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1987-01-16 12:00:00,32.002010694111412
200,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1987-01-16 12:00:00,5.017463137428179
201,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-02-15 0:00:00,27.742028338102667
202,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-02-15 0:00:00,35.667609846808141
203,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1987-02-15 0:00:00,22.772060100197617
204,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1987-02-15 0:00:00,19.180120915085446
205,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1987-02-15 0:00:00,57.174140387618266
206,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1987-02-15 0:00:00,14.568462592284643
207,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1987-02-15 0:00:00,57.192497693899924
208,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1987-02-15 0:00:00,25.234060645415887
209,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-03-16 12:00:00,3.637831630863828
210,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-03-16 12:00:00,9.768245021117641
211,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1987-03-16 12:00:00,7.322518840115726
212,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1987-03-16 12:00:00,0.002978527359191
213,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1987-03-16 12:00:00,16.270444017834453
214,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1987-03-16 12:00:00,2.515781306051037
215,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1987-03-16 12:00:00,26.978248981992373
216,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1987-03-16 12:00:00,3.675683662383647
217,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-04-16 0:00:00,7.360736524513149
218,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-04-16 0:00:00,13.039733125926391
219,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1987-04-16 0:00:00,9.809951605403599
220,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1987-04-16 0:00:00,6.182793123851548
221,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1987-04-16 0:00:00,11.546915319770592
222,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1987-04-16 0:00:00,7.923085722041156
223,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1987-04-16 0:00:00,16.697823400179146
224,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1987-04-16 0:00:00,2.788952446317508
225,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-05-16 12:00:00,49.594069104167488
226,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-05-16 12:00:00,35.070776112890648
227,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1987-05-16 12:00:00,37.579790149198509
228,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1987-05-16 12:00:00,67.897880154973564
229,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1987-05-16 12:00:00,34.029106328691761
230,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1987-05-16 12:00:00,32.518893925275407
231,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1987-05-16 12:00:00,61.908199413231159
232,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1987-05-16 12:00:00,40.921095794057102
233,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1987-06-16 0:00:00,38.238341849185744
234,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1987-06-16 0:00:00,54.759696558180821
