"","subbasin","year","winter_length"
"157","Stewart",2012,225.571428571429
"158","Stewart",2013,217.214285714286
"159","Stewart",2014,220.642857142857
"160","Stewart",2015,89.6428571428571
"161","Teslin",1984,141.227272727273
"162","Teslin",1985,231.045454545455
"163","Teslin",1986,216.590909090909
"164","Teslin",1987,218.772727272727
"165","Teslin",1988,214.545454545455
"166","Teslin",1989,222.863636363636
"167","Teslin",1990,224.545454545455
"168","Teslin",1991,224.5
"169","Teslin",1992,219.590909090909
"170","Teslin",1993,223.545454545455
"171","Teslin",1994,218.136363636364
"172","Teslin",1995,227.409090909091
"173","Teslin",1996,223.772727272727
"174","Teslin",1997,220.136363636364
"175","Teslin",1998,227.954545454545
"176","Teslin",1999,228.681818181818
"177","Teslin",2000,227.318181818182
"178","Teslin",2001,226.954545454545
"179","Teslin",2002,222.545454545455
"180","Teslin",2003,216.590909090909
"181","Teslin",2004,215.772727272727
"182","Teslin",2005,221.954545454545
"183","Teslin",2006,228
"184","Teslin",2007,224.954545454545
"185","Teslin",2008,229.727272727273
"186","Teslin",2009,221.272727272727
"187","Teslin",2010,221.090909090909
"188","Teslin",2011,227.454545454545
"189","Teslin",2012,220.181818181818
"190","Teslin",2013,218.954545454545
"191","Teslin",2014,211.818181818182
"192","Teslin",2015,83.5909090909091
"193","Upper Lakes and Mainstem",1984,137.375
"194","Upper Lakes and Mainstem",1985,229.125
"195","Upper Lakes and Mainstem",1986,218.5
"196","Upper Lakes and Mainstem",1987,216.5
"197","Upper Lakes and Mainstem",1988,209.375
"198","Upper Lakes and Mainstem",1989,214.5
"199","Upper Lakes and Mainstem",1990,222.375
"200","Upper Lakes and Mainstem",1991,220.5
"201","Upper Lakes and Mainstem",1992,217.125
"202","Upper Lakes and Mainstem",1993,214.5
"203","Upper Lakes and Mainstem",1994,214
"204","Upper Lakes and Mainstem",1995,221.75
"205","Upper Lakes and Mainstem",1996,223.25
"206","Upper Lakes and Mainstem",1997,217.125
"207","Upper Lakes and Mainstem",1998,223
"208","Upper Lakes and Mainstem",1999,221
"209","Upper Lakes and Mainstem",2000,225.125
"210","Upper Lakes and Mainstem",2001,220.25
"211","Upper Lakes and Mainstem",2002,216.75
"212","Upper Lakes and Mainstem",2003,208.25
"213","Upper Lakes and Mainstem",2004,212.75
"214","Upper Lakes and Mainstem",2005,213.625
"215","Upper Lakes and Mainstem",2006,219.875
"216","Upper Lakes and Mainstem",2007,218.75
"217","Upper Lakes and Mainstem",2008,221.25
"218","Upper Lakes and Mainstem",2009,215.75
"219","Upper Lakes and Mainstem",2010,217.5
"220","Upper Lakes and Mainstem",2011,222.125
"221","Upper Lakes and Mainstem",2012,217
"222","Upper Lakes and Mainstem",2013,211.25
"223","Upper Lakes and Mainstem",2014,209.625
"224","Upper Lakes and Mainstem",2015,81.5
"225","White Donjek",1984,144
"226","White Donjek",1985,234
"227","White Donjek",1986,227
"228","White Donjek",1987,219.75
"229","White Donjek",1988,217.75
"230","White Donjek",1989,221.5
"231","White Donjek",1990,221.75
"232","White Donjek",1991,233.5
"233","White Donjek",1992,221.5
"234","White Donjek",1993,223.25
"235","White Donjek",1994,221.25
"236","White Donjek",1995,234.5
"237","White Donjek",1996,227.5
"238","White Donjek",1997,224.25
"239","White Donjek",1998,234
"240","White Donjek",1999,234
"241","White Donjek",2000,234.75
"242","White Donjek",2001,224.5
"243","White Donjek",2002,229.5
"244","White Donjek",2003,214.75
"245","White Donjek",2004,219.25
"246","White Donjek",2005,227.75
"247","White Donjek",2006,227.25
"248","White Donjek",2007,225.5
"249","White Donjek",2008,227.5
"250","White Donjek",2009,226.25
"251","White Donjek",2010,227.5
"252","White Donjek",2011,230.75
"253","White Donjek",2012,229.75
"254","White Donjek",2013,224.75
"255","White Donjek",2014,223.25
"256","White Donjek",2015,92
