"","date","meansst","Ecosystem_sub"
"134",1985-03-08,0.47,"Southeastern Bering Sea"
"135",1985-03-09,-1.55,"Northern Bering Sea"
"136",1985-03-09,0.47,"Southeastern Bering Sea"
"137",1985-03-10,-1.57,"Northern Bering Sea"
"138",1985-03-10,0.44,"Southeastern Bering Sea"
"139",1985-03-11,-1.59,"Northern Bering Sea"
"140",1985-03-11,0.4,"Southeastern Bering Sea"
"141",1985-03-12,-1.6,"Northern Bering Sea"
"142",1985-03-12,0.43,"Southeastern Bering Sea"
"143",1985-03-13,-1.61,"Northern Bering Sea"
"144",1985-03-13,0.43,"Southeastern Bering Sea"
"145",1985-03-14,-1.47,"Northern Bering Sea"
"146",1985-03-14,0.97,"Southeastern Bering Sea"
"147",1985-03-15,-1.49,"Northern Bering Sea"
"148",1985-03-15,0.89,"Southeastern Bering Sea"
"149",1985-03-16,-1.52,"Northern Bering Sea"
"150",1985-03-16,0.82,"Southeastern Bering Sea"
"151",1985-03-17,-1.55,"Northern Bering Sea"
"152",1985-03-17,0.66,"Southeastern Bering Sea"
"153",1985-03-18,-1.57,"Northern Bering Sea"
"154",1985-03-18,0.75,"Southeastern Bering Sea"
"155",1985-03-19,-1.58,"Northern Bering Sea"
"156",1985-03-19,0.8,"Southeastern Bering Sea"
"157",1985-03-20,-1.62,"Northern Bering Sea"
"158",1985-03-20,0.76,"Southeastern Bering Sea"
"159",1985-03-21,-1.62,"Northern Bering Sea"
"160",1985-03-21,0.72,"Southeastern Bering Sea"
"161",1985-03-22,-1.63,"Northern Bering Sea"
"162",1985-03-22,0.58,"Southeastern Bering Sea"
"163",1985-03-23,-1.64,"Northern Bering Sea"
"164",1985-03-23,0.43,"Southeastern Bering Sea"
"165",1985-03-24,-1.68,"Northern Bering Sea"
"166",1985-03-24,0.28,"Southeastern Bering Sea"
"167",1985-03-25,-1.74,"Northern Bering Sea"
"168",1985-03-25,0.08,"Southeastern Bering Sea"
"169",1985-03-26,-1.75,"Northern Bering Sea"
"170",1985-03-26,0.06,"Southeastern Bering Sea"
"171",1985-03-27,-1.71,"Northern Bering Sea"
"172",1985-03-27,0.15,"Southeastern Bering Sea"
"173",1985-03-28,-1.75,"Northern Bering Sea"
"174",1985-03-28,-0.03,"Southeastern Bering Sea"
"175",1985-03-29,-1.73,"Northern Bering Sea"
"176",1985-03-29,0.23,"Southeastern Bering Sea"
"177",1985-03-30,-1.74,"Northern Bering Sea"
"178",1985-03-30,0.43,"Southeastern Bering Sea"
"179",1985-03-31,-1.77,"Northern Bering Sea"
"180",1985-03-31,0.34,"Southeastern Bering Sea"
"181",1985-04-01,-1.75,"Northern Bering Sea"
"182",1985-04-01,0.3,"Southeastern Bering Sea"
"183",1985-04-02,-1.76,"Northern Bering Sea"
"184",1985-04-02,0.28,"Southeastern Bering Sea"
"185",1985-04-03,-1.8,"Northern Bering Sea"
"186",1985-04-03,0.24,"Southeastern Bering Sea"
"187",1985-04-04,-1.8,"Northern Bering Sea"
"188",1985-04-04,0.15,"Southeastern Bering Sea"
"189",1985-04-05,-1.76,"Northern Bering Sea"
"190",1985-04-05,0.22,"Southeastern Bering Sea"
"191",1985-04-06,-1.69,"Northern Bering Sea"
"192",1985-04-06,0.28,"Southeastern Bering Sea"
"193",1985-04-07,-1.64,"Northern Bering Sea"
"194",1985-04-07,0.4,"Southeastern Bering Sea"
"195",1985-04-08,-1.62,"Northern Bering Sea"
"196",1985-04-08,0.42,"Southeastern Bering Sea"
"197",1985-04-09,-1.55,"Northern Bering Sea"
"198",1985-04-09,0.54,"Southeastern Bering Sea"
"199",1985-04-10,-1.55,"Northern Bering Sea"
"200",1985-04-10,0.5,"Southeastern Bering Sea"
"201",1985-04-11,-1.55,"Northern Bering Sea"
"202",1985-04-11,0.47,"Southeastern Bering Sea"
"203",1985-04-12,-1.6,"Northern Bering Sea"
"204",1985-04-12,0.32,"Southeastern Bering Sea"
"205",1985-04-13,-1.62,"Northern Bering Sea"
"206",1985-04-13,0.24,"Southeastern Bering Sea"
"207",1985-04-14,-1.66,"Northern Bering Sea"
"208",1985-04-14,0.09,"Southeastern Bering Sea"
"209",1985-04-15,-1.68,"Northern Bering Sea"
"210",1985-04-15,0,"Southeastern Bering Sea"
"211",1985-04-16,-1.71,"Northern Bering Sea"
"212",1985-04-16,-0.25,"Southeastern Bering Sea"
"213",1985-04-17,-1.65,"Northern Bering Sea"
"214",1985-04-17,0.21,"Southeastern Bering Sea"
"215",1985-04-18,-1.66,"Northern Bering Sea"
"216",1985-04-18,0.23,"Southeastern Bering Sea"
"217",1985-04-19,-1.68,"Northern Bering Sea"
"218",1985-04-19,0.07,"Southeastern Bering Sea"
"219",1985-04-20,-1.71,"Northern Bering Sea"
"220",1985-04-20,0.04,"Southeastern Bering Sea"
"221",1985-04-21,-1.71,"Northern Bering Sea"
"222",1985-04-21,0.06,"Southeastern Bering Sea"
"223",1985-04-22,-1.7,"Northern Bering Sea"
"224",1985-04-22,0.18,"Southeastern Bering Sea"
"225",1985-04-23,-1.69,"Northern Bering Sea"
"226",1985-04-23,0.22,"Southeastern Bering Sea"
"227",1985-04-24,-1.74,"Northern Bering Sea"
"228",1985-04-24,0.01,"Southeastern Bering Sea"
"229",1985-04-25,-1.76,"Northern Bering Sea"
"230",1985-04-25,-0.08,"Southeastern Bering Sea"
"231",1985-04-26,-1.77,"Northern Bering Sea"
"232",1985-04-26,-0.04,"Southeastern Bering Sea"
"233",1985-04-27,-1.8,"Northern Bering Sea"
"234",1985-04-27,-0.2,"Southeastern Bering Sea"
"235",1985-04-28,-1.79,"Northern Bering Sea"
"236",1985-04-28,-0.29,"Southeastern Bering Sea"
"237",1985-04-29,-1.79,"Northern Bering Sea"
"238",1985-04-29,-0.32,"Southeastern Bering Sea"
"239",1985-04-30,-1.83,"Northern Bering Sea"
"240",1985-04-30,-0.56,"Southeastern Bering Sea"
"241",1985-05-01,-1.83,"Northern Bering Sea"
"242",1985-05-01,-0.68,"Southeastern Bering Sea"
"243",1985-05-02,-1.79,"Northern Bering Sea"
"244",1985-05-02,-0.66,"Southeastern Bering Sea"
"245",1985-05-03,-1.76,"Northern Bering Sea"
"246",1985-05-03,-0.42,"Southeastern Bering Sea"
"247",1985-05-04,-1.78,"Northern Bering Sea"
"248",1985-05-04,-0.28,"Southeastern Bering Sea"
"249",1985-05-05,-1.78,"Northern Bering Sea"
"250",1985-05-05,-0.24,"Southeastern Bering Sea"
"251",1985-05-06,-1.75,"Northern Bering Sea"
"252",1985-05-06,-0.14,"Southeastern Bering Sea"
"253",1985-05-07,-1.73,"Northern Bering Sea"
"254",1985-05-07,0.03,"Southeastern Bering Sea"
"255",1985-05-08,-1.72,"Northern Bering Sea"
"256",1985-05-08,0.41,"Southeastern Bering Sea"
"257",1985-05-09,-1.76,"Northern Bering Sea"
"258",1985-05-09,0.4,"Southeastern Bering Sea"
"259",1985-05-10,-1.7,"Northern Bering Sea"
"260",1985-05-10,0.56,"Southeastern Bering Sea"
"261",1985-05-11,-1.68,"Northern Bering Sea"
"262",1985-05-11,0.69,"Southeastern Bering Sea"
"263",1985-05-12,-1.64,"Northern Bering Sea"
"264",1985-05-12,0.92,"Southeastern Bering Sea"
"265",1985-05-13,-1.61,"Northern Bering Sea"
"266",1985-05-13,1.03,"Southeastern Bering Sea"
"267",1985-05-14,-1.58,"Northern Bering Sea"
"268",1985-05-14,1.16,"Southeastern Bering Sea"
"269",1985-05-15,-1.62,"Northern Bering Sea"
"270",1985-05-15,1.09,"Southeastern Bering Sea"
"271",1985-05-16,-1.64,"Northern Bering Sea"
"272",1985-05-16,1.11,"Southeastern Bering Sea"
"273",1985-05-17,-1.75,"Northern Bering Sea"
"274",1985-05-17,1.07,"Southeastern Bering Sea"
"275",1985-05-18,-1.59,"Northern Bering Sea"
"276",1985-05-18,1.48,"Southeastern Bering Sea"
"277",1985-05-19,-1.58,"Northern Bering Sea"
"278",1985-05-19,1.59,"Southeastern Bering Sea"
"279",1985-05-20,-1.58,"Northern Bering Sea"
"280",1985-05-20,1.66,"Southeastern Bering Sea"
"281",1985-05-21,-1.73,"Northern Bering Sea"
"282",1985-05-21,1.21,"Southeastern Bering Sea"
"283",1985-05-22,-1.69,"Northern Bering Sea"
"284",1985-05-22,1.05,"Southeastern Bering Sea"
"285",1985-05-23,-1.64,"Northern Bering Sea"
"286",1985-05-23,1.01,"Southeastern Bering Sea"
"287",1985-05-24,-1.54,"Northern Bering Sea"
"288",1985-05-24,1.15,"Southeastern Bering Sea"
"289",1985-05-25,-1.46,"Northern Bering Sea"
"290",1985-05-25,1.54,"Southeastern Bering Sea"
"291",1985-05-26,-1.31,"Northern Bering Sea"
"292",1985-05-26,1.66,"Southeastern Bering Sea"
"293",1985-05-27,-1.43,"Northern Bering Sea"
"294",1985-05-27,1.31,"Southeastern Bering Sea"
"295",1985-05-28,-1.53,"Northern Bering Sea"
"296",1985-05-28,1.13,"Southeastern Bering Sea"
"297",1985-05-29,-1.6,"Northern Bering Sea"
"298",1985-05-29,0.99,"Southeastern Bering Sea"
"299",1985-05-30,-1.46,"Northern Bering Sea"
"300",1985-05-30,1.19,"Southeastern Bering Sea"
"301",1985-05-31,-1.14,"Northern Bering Sea"
"302",1985-05-31,1.57,"Southeastern Bering Sea"
"303",1985-06-01,-0.78,"Northern Bering Sea"
"304",1985-06-01,1.91,"Southeastern Bering Sea"
"305",1985-06-02,-0.37,"Northern Bering Sea"
"306",1985-06-02,2.19,"Southeastern Bering Sea"
"307",1985-06-03,-0.4,"Northern Bering Sea"
"308",1985-06-03,2.19,"Southeastern Bering Sea"
"309",1985-06-04,-0.26,"Northern Bering Sea"
"310",1985-06-04,2.36,"Southeastern Bering Sea"
"311",1985-06-05,-0.15,"Northern Bering Sea"
"312",1985-06-05,2.17,"Southeastern Bering Sea"
"313",1985-06-06,-0.17,"Northern Bering Sea"
"314",1985-06-06,2.19,"Southeastern Bering Sea"
"315",1985-06-07,-0.1,"Northern Bering Sea"
"316",1985-06-07,2.31,"Southeastern Bering Sea"
"317",1985-06-08,0.03,"Northern Bering Sea"
"318",1985-06-08,2.6,"Southeastern Bering Sea"
"319",1985-06-09,0.14,"Northern Bering Sea"
"320",1985-06-09,2.59,"Southeastern Bering Sea"
"321",1985-06-10,0.29,"Northern Bering Sea"
"322",1985-06-10,2.69,"Southeastern Bering Sea"
"323",1985-06-11,0.95,"Northern Bering Sea"
"324",1985-06-11,2.88,"Southeastern Bering Sea"
"325",1985-06-12,1.18,"Northern Bering Sea"
"326",1985-06-12,3,"Southeastern Bering Sea"
"327",1985-06-13,1.31,"Northern Bering Sea"
"328",1985-06-13,3.06,"Southeastern Bering Sea"
"329",1985-06-14,1.47,"Northern Bering Sea"
"330",1985-06-14,3.27,"Southeastern Bering Sea"
"331",1985-06-15,1.92,"Northern Bering Sea"
"332",1985-06-15,3.56,"Southeastern Bering Sea"
"333",1985-06-16,2.07,"Northern Bering Sea"
"334",1985-06-16,3.73,"Southeastern Bering Sea"
"335",1985-06-17,2.14,"Northern Bering Sea"
"336",1985-06-17,3.79,"Southeastern Bering Sea"
"337",1985-06-18,2.07,"Northern Bering Sea"
"338",1985-06-18,3.78,"Southeastern Bering Sea"
"339",1985-06-19,2.32,"Northern Bering Sea"
"340",1985-06-19,4.03,"Southeastern Bering Sea"
"341",1985-06-20,2.3,"Northern Bering Sea"
"342",1985-06-20,4.07,"Southeastern Bering Sea"
"343",1985-06-21,2.62,"Northern Bering Sea"
"344",1985-06-21,4.15,"Southeastern Bering Sea"
"345",1985-06-22,2.42,"Northern Bering Sea"
"346",1985-06-22,4.21,"Southeastern Bering Sea"
"347",1985-06-23,2.18,"Northern Bering Sea"
"348",1985-06-23,3.77,"Southeastern Bering Sea"
"349",1985-06-24,2.03,"Northern Bering Sea"
"350",1985-06-24,3.73,"Southeastern Bering Sea"
"351",1985-06-25,2.18,"Northern Bering Sea"
"352",1985-06-25,3.65,"Southeastern Bering Sea"
"353",1985-06-26,2.54,"Northern Bering Sea"
"354",1985-06-26,4.05,"Southeastern Bering Sea"
"355",1985-06-27,2.91,"Northern Bering Sea"
"356",1985-06-27,4.33,"Southeastern Bering Sea"
"357",1985-06-28,3.48,"Northern Bering Sea"
"358",1985-06-28,4.45,"Southeastern Bering Sea"
"359",1985-06-29,3.53,"Northern Bering Sea"
"360",1985-06-29,4.18,"Southeastern Bering Sea"
"361",1985-06-30,3.91,"Northern Bering Sea"
"362",1985-06-30,4.55,"Southeastern Bering Sea"
"363",1985-07-01,3.57,"Northern Bering Sea"
"364",1985-07-01,4.49,"Southeastern Bering Sea"
"365",1985-07-02,3.42,"Northern Bering Sea"
"366",1985-07-02,4.92,"Southeastern Bering Sea"
"367",1985-07-03,3.67,"Northern Bering Sea"
"368",1985-07-03,5.28,"Southeastern Bering Sea"
"369",1985-07-04,3.93,"Northern Bering Sea"
"370",1985-07-04,5.27,"Southeastern Bering Sea"
"371",1985-07-05,4.63,"Northern Bering Sea"
"372",1985-07-05,5.45,"Southeastern Bering Sea"
"373",1985-07-06,4.45,"Northern Bering Sea"
"374",1985-07-06,5.47,"Southeastern Bering Sea"
"375",1985-07-07,4.82,"Northern Bering Sea"
"376",1985-07-07,5.66,"Southeastern Bering Sea"
"377",1985-07-08,4.47,"Northern Bering Sea"
"378",1985-07-08,5.58,"Southeastern Bering Sea"
"379",1985-07-09,4.32,"Northern Bering Sea"
"380",1985-07-09,5.02,"Southeastern Bering Sea"
"381",1985-07-10,4.65,"Northern Bering Sea"
"382",1985-07-10,5.29,"Southeastern Bering Sea"
"383",1985-07-11,4.81,"Northern Bering Sea"
"384",1985-07-11,5.45,"Southeastern Bering Sea"
"385",1985-07-12,4.84,"Northern Bering Sea"
"386",1985-07-12,5.65,"Southeastern Bering Sea"
"387",1985-07-13,5,"Northern Bering Sea"
"388",1985-07-13,5.9,"Southeastern Bering Sea"
"389",1985-07-14,6.81,"Northern Bering Sea"
"390",1985-07-14,6.44,"Southeastern Bering Sea"
"391",1985-07-15,6.54,"Northern Bering Sea"
"392",1985-07-15,6.7,"Southeastern Bering Sea"
"393",1985-07-16,6.03,"Northern Bering Sea"
"394",1985-07-16,7,"Southeastern Bering Sea"
"395",1985-07-17,5.89,"Northern Bering Sea"
"396",1985-07-17,6.75,"Southeastern Bering Sea"
"397",1985-07-18,6.3,"Northern Bering Sea"
"398",1985-07-18,7.21,"Southeastern Bering Sea"
"399",1985-07-19,6.96,"Northern Bering Sea"
"400",1985-07-19,7.48,"Southeastern Bering Sea"
"401",1985-07-20,7.34,"Northern Bering Sea"
"402",1985-07-20,7.44,"Southeastern Bering Sea"
"403",1985-07-21,6.97,"Northern Bering Sea"
"404",1985-07-21,6.99,"Southeastern Bering Sea"
"405",1985-07-22,7.13,"Northern Bering Sea"
"406",1985-07-22,6.94,"Southeastern Bering Sea"
"407",1985-07-23,7.84,"Northern Bering Sea"
"408",1985-07-23,7.2,"Southeastern Bering Sea"
"409",1985-07-24,8.17,"Northern Bering Sea"
"410",1985-07-24,7.5,"Southeastern Bering Sea"
"411",1985-07-25,8.31,"Northern Bering Sea"
"412",1985-07-25,7.55,"Southeastern Bering Sea"
"413",1985-07-26,8.01,"Northern Bering Sea"
"414",1985-07-26,7.58,"Southeastern Bering Sea"
"415",1985-07-27,8.83,"Northern Bering Sea"
"416",1985-07-27,8.25,"Southeastern Bering Sea"
"417",1985-07-28,8.98,"Northern Bering Sea"
"418",1985-07-28,8.36,"Southeastern Bering Sea"
"419",1985-07-29,9.1,"Northern Bering Sea"
"420",1985-07-29,8.42,"Southeastern Bering Sea"
"421",1985-07-30,8.77,"Northern Bering Sea"
"422",1985-07-30,8.05,"Southeastern Bering Sea"
"423",1985-07-31,8.52,"Northern Bering Sea"
"424",1985-07-31,8.14,"Southeastern Bering Sea"
"425",1985-08-01,8.94,"Northern Bering Sea"
"426",1985-08-01,8.26,"Southeastern Bering Sea"
"427",1985-08-02,9.36,"Northern Bering Sea"
"428",1985-08-02,8.23,"Southeastern Bering Sea"
"429",1985-08-03,9.28,"Northern Bering Sea"
"430",1985-08-03,8.3,"Southeastern Bering Sea"
"431",1985-08-04,9.1,"Northern Bering Sea"
"432",1985-08-04,8.64,"Southeastern Bering Sea"
"433",1985-08-05,9.57,"Northern Bering Sea"
"434",1985-08-05,9.06,"Southeastern Bering Sea"
"435",1985-08-06,9.51,"Northern Bering Sea"
"436",1985-08-06,9.12,"Southeastern Bering Sea"
"437",1985-08-07,9.18,"Northern Bering Sea"
"438",1985-08-07,9.01,"Southeastern Bering Sea"
"439",1985-08-08,8.98,"Northern Bering Sea"
"440",1985-08-08,8.86,"Southeastern Bering Sea"
"441",1985-08-09,8.65,"Northern Bering Sea"
"442",1985-08-09,8.55,"Southeastern Bering Sea"
"443",1985-08-10,8.24,"Northern Bering Sea"
"444",1985-08-10,8.49,"Southeastern Bering Sea"
"445",1985-08-11,8.88,"Northern Bering Sea"
"446",1985-08-11,8.54,"Southeastern Bering Sea"
"447",1985-08-12,9.14,"Northern Bering Sea"
"448",1985-08-12,8.78,"Southeastern Bering Sea"
"449",1985-08-13,9.03,"Northern Bering Sea"
"450",1985-08-13,8.6,"Southeastern Bering Sea"
"451",1985-08-14,9,"Northern Bering Sea"
"452",1985-08-14,8.72,"Southeastern Bering Sea"
"453",1985-08-15,8.98,"Northern Bering Sea"
"454",1985-08-15,8.84,"Southeastern Bering Sea"
"455",1985-08-16,8.94,"Northern Bering Sea"
"456",1985-08-16,8.83,"Southeastern Bering Sea"
"457",1985-08-17,9.09,"Northern Bering Sea"
"458",1985-08-17,8.72,"Southeastern Bering Sea"
"459",1985-08-18,8.93,"Northern Bering Sea"
"460",1985-08-18,8.62,"Southeastern Bering Sea"
"461",1985-08-19,8.87,"Northern Bering Sea"
"462",1985-08-19,8.53,"Southeastern Bering Sea"
"463",1985-08-20,8.91,"Northern Bering Sea"
"464",1985-08-20,8.33,"Southeastern Bering Sea"
"465",1985-08-21,8.74,"Northern Bering Sea"
"466",1985-08-21,8.27,"Southeastern Bering Sea"
"467",1985-08-22,8.64,"Northern Bering Sea"
"468",1985-08-22,8.36,"Southeastern Bering Sea"
"469",1985-08-23,8.32,"Northern Bering Sea"
"470",1985-08-23,8.29,"Southeastern Bering Sea"
"471",1985-08-24,7.96,"Northern Bering Sea"
"472",1985-08-24,8.21,"Southeastern Bering Sea"
"473",1985-08-25,8.07,"Northern Bering Sea"
"474",1985-08-25,8.28,"Southeastern Bering Sea"
"475",1985-08-26,8.03,"Northern Bering Sea"
"476",1985-08-26,8.43,"Southeastern Bering Sea"
"477",1985-08-27,7.8,"Northern Bering Sea"
"478",1985-08-27,8.15,"Southeastern Bering Sea"
"479",1985-08-28,7.21,"Northern Bering Sea"
"480",1985-08-28,8.01,"Southeastern Bering Sea"
"481",1985-08-29,7.2,"Northern Bering Sea"
"482",1985-08-29,7.97,"Southeastern Bering Sea"
"483",1985-08-30,7.05,"Northern Bering Sea"
"484",1985-08-30,7.69,"Southeastern Bering Sea"
"485",1985-08-31,7.08,"Northern Bering Sea"
"486",1985-08-31,7.68,"Southeastern Bering Sea"
"487",1985-09-01,6.71,"Northern Bering Sea"
"488",1985-09-01,7.43,"Southeastern Bering Sea"
"489",1985-09-02,6.99,"Northern Bering Sea"
"490",1985-09-02,7.72,"Southeastern Bering Sea"
"491",1985-09-03,8.05,"Northern Bering Sea"
"492",1985-09-03,8.38,"Southeastern Bering Sea"
"493",1985-09-04,8.32,"Northern Bering Sea"
"494",1985-09-04,8.71,"Southeastern Bering Sea"
"495",1985-09-05,8.46,"Northern Bering Sea"
"496",1985-09-05,8.84,"Southeastern Bering Sea"
"497",1985-09-06,8.3,"Northern Bering Sea"
"498",1985-09-06,8.84,"Southeastern Bering Sea"
"499",1985-09-07,8.15,"Northern Bering Sea"
"500",1985-09-07,8.85,"Southeastern Bering Sea"
"501",1985-09-08,7.93,"Northern Bering Sea"
"502",1985-09-08,8.78,"Southeastern Bering Sea"
"503",1985-09-09,7.65,"Northern Bering Sea"
"504",1985-09-09,8.74,"Southeastern Bering Sea"
"505",1985-09-10,7.46,"Northern Bering Sea"
"506",1985-09-10,8.66,"Southeastern Bering Sea"
"507",1985-09-11,7.23,"Northern Bering Sea"
"508",1985-09-11,8.37,"Southeastern Bering Sea"
"509",1985-09-12,7.38,"Northern Bering Sea"
"510",1985-09-12,8.36,"Southeastern Bering Sea"
"511",1985-09-13,7.23,"Northern Bering Sea"
